result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]","[2, 6]"
1,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 2, 3, 0, 3, 0, 0]",[6]
2,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]","[2, 6]"
3,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]","[2, 6]"
4,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]","[2, 6]"
5,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]",[2]
6,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]",[6]
7,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]","[2, 6]"
8,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]",[2]
9,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0, 3]",[],[],"[1, 3, 0, 3, 0, 0, 3]","[2, 6]"
10,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]","[2, 6]"
11,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]","[2, 6]"
12,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]","[2, 6, 7]"
13,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]",[6]
14,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]","[2, 6]"
15,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0, 3]",[],[],"[1, 3, 0, 3, 0, 0, 3]","[6, 8]"
16,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 6, 3, 0, 3, 0, 0]",[7]
17,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 12, 4, 6, 5, 3, 0, 3, 7, 8, 0, 7, 8, 0]",[],[],"[1, 3, 0, 3, 0, 0]","[6, 7]"
18,phi3:14b-medium-128k-instruct-q4_K_M,True,"[9, 1, 1, 3, 1, 3, 12, 6, 5, 6, 4, 5, 6, 11, 4, 7, 0, 1, 0, 4, 6, 0, 7, 11, 0]","[9, 1, 12, 6]",[],[],"[1, 1, 3, 1, 3, 6, 11, 0, 1, 0, 4, 6, 0, 11, 0]"
19,phi3:14b-medium-128k-instruct-q4_K_M,True,"[1, 2, 3, 12, 12, 6, 4, 5, 6, 5, 6, 12, 0, 5, 4, 8, 2, 12, 10, 11, 2, 3, 12, 3, 8]","[3, 12, 12, 6, 6, 12, 10, 11, 3, 12, 3, 8]",[],[],"[1, 3, 6, 6, 6]"
