result_id,model,reversed,threats,mitigations,risks_same,risks_more,risks_less
0,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 23, 24, 24, 24, 25, 25, 26, 26, 27, 27, 28, 29, 29, 29, 31, 32, 32, 32, 34, 34, 34, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]","[0, 2, 2, 4, 4, 5, 5, 6, 6, 8, 10, 12, 13, 13, 21, 24, 24, 25, 27, 27, 31, 35, 37]","[0, 0, 1, 2, 9, 9, 10, 10, 10, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 26, 26, 27, 34, 34]","[24, 34, 37, 37, 37]","[1, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 23, 24, 24, 25, 25, 27, 28, 29, 29, 29, 31, 32, 32, 32, 35, 35, 36, 36, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]"
1,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 24, 24, 24, 25, 25, 26, 27, 27, 28, 28, 29, 29, 29, 31, 32, 32, 32, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]","[0, 2, 2, 4, 4, 5, 5, 6, 6, 8, 10, 12, 13, 13, 21, 24, 24, 27, 27, 31, 35, 37, 43]","[0, 0, 1, 2, 2, 9, 9, 10, 10, 10, 19, 19, 20, 20, 20, 21, 21, 22, 22, 26, 27, 27, 34, 34]","[21, 24, 34, 37, 37, 37]","[1, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 24, 24, 25, 25, 28, 28, 29, 29, 29, 31, 32, 32, 32, 33, 35, 35, 35, 36, 36, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]"
2,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 24, 24, 24, 25, 25, 26, 27, 27, 28, 29, 29, 29, 31, 32, 32, 32, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]","[0, 2, 2, 4, 4, 5, 5, 6, 6, 8, 10, 12, 13, 13, 21, 24, 24, 25, 27, 27, 31, 32, 35, 37]","[0, 0, 1, 1, 2, 9, 9, 10, 10, 19, 20, 21, 21, 21, 22, 22, 26, 27, 34, 34]","[37, 37, 37]","[2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 19, 20, 20, 24, 24, 24, 25, 25, 27, 28, 29, 29, 29, 31, 32, 32, 32, 34, 35, 35, 35, 36, 36, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]"
3,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 24, 24, 24, 25, 25, 26, 27, 27, 28, 28, 29, 29, 29, 31, 32, 32, 32, 33, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47, 47]","[0, 2, 2, 4, 4, 5, 5, 6, 6, 8, 10, 12, 13, 13, 21, 24, 24, 27, 27, 31, 35, 37, 43]","[0, 0, 1, 2, 9, 9, 10, 10, 19, 19, 20, 20, 21, 26, 27, 33, 34, 34]","[1, 10, 21, 22, 37, 37, 37]","[2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 11, 11, 12, 13, 13, 14, 16, 17, 17, 18, 18, 20, 21, 22, 24, 24, 24, 25, 25, 27, 28, 28, 29, 29, 29, 31, 32, 32, 32, 33, 34, 35, 35, 35, 36, 36, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47, 47]"
4,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 24, 24, 24, 25, 25, 26, 27, 27, 28, 29, 29, 29, 31, 32, 32, 32, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]","[0, 2, 2, 4, 4, 5, 5, 6, 6, 8, 10, 12, 13, 13, 21, 24, 24, 25, 27, 27, 31, 32, 35, 37, 43]","[0, 0, 1, 1, 2, 2, 9, 9, 10, 10, 19, 20, 20, 21, 21, 21, 22, 22, 26, 27, 27, 34]","[37, 37, 37]","[3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 19, 20, 24, 24, 24, 25, 25, 28, 29, 29, 29, 31, 32, 32, 32, 34, 34, 35, 35, 35, 36, 36, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]"
5,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 24, 24, 24, 25, 25, 26, 27, 27, 28, 29, 29, 31, 32, 32, 32, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]","[0, 2, 2, 4, 4, 5, 5, 6, 6, 8, 10, 12, 13, 13, 21, 24, 24, 25, 27, 31, 35, 37, 43]","[0, 0, 1, 9, 9, 10, 10, 10, 19, 19, 20, 20, 21, 21, 22, 27, 34, 34]","[34, 37, 37, 37]","[1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 20, 21, 22, 24, 24, 24, 25, 25, 26, 27, 28, 29, 29, 31, 32, 32, 32, 33, 35, 35, 35, 36, 36, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]"
6,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 23, 24, 24, 24, 25, 25, 26, 27, 27, 28, 29, 29, 29, 30, 31, 32, 32, 32, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]","[0, 2, 2, 4, 4, 5, 5, 6, 6, 8, 10, 12, 13, 13, 21, 24, 24, 25, 27, 27, 31, 35, 37]","[0, 0, 1, 2, 9, 10, 10, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 23, 26, 27, 34]","[37, 37, 37]","[1, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 24, 24, 24, 25, 25, 27, 28, 29, 29, 29, 30, 31, 32, 32, 32, 33, 34, 34, 35, 35, 35, 36, 36, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]"
7,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 13, 13, 14, 14, 16, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 24, 24, 24, 25, 25, 26, 26, 27, 27, 28, 29, 29, 29, 31, 32, 32, 32, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47, 47]","[0, 2, 2, 4, 4, 5, 5, 6, 6, 8, 10, 12, 13, 13, 21, 24, 24, 27, 27, 31, 35, 37]","[0, 0, 1, 1, 2, 9, 10, 10, 10, 19, 19, 20, 20, 20, 21, 21, 22, 26, 26, 27, 34, 34]","[37, 37, 37]","[2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 11, 11, 12, 13, 13, 14, 14, 16, 17, 17, 18, 18, 21, 22, 24, 24, 24, 25, 25, 27, 28, 29, 29, 29, 31, 32, 32, 32, 34, 35, 35, 35, 36, 36, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47, 47]"
8,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 24, 24, 24, 25, 25, 26, 27, 27, 28, 28, 29, 29, 29, 30, 31, 32, 32, 32, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]","[0, 2, 2, 4, 4, 5, 5, 6, 6, 8, 10, 12, 13, 13, 21, 24, 24, 27, 31, 35, 37]","[0, 0, 1, 1, 2, 10, 20, 20, 21, 21, 22, 22, 26, 27, 27, 33, 34]","[10, 24, 37, 37, 37]","[2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 19, 19, 20, 21, 24, 24, 25, 25, 28, 28, 29, 29, 29, 30, 31, 32, 32, 32, 34, 34, 35, 35, 35, 36, 36, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47]"
9,qwen2.5:7b-instruct-q4_K_M,False,"[0, 0, 1, 1, 2, 2, 3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 19, 19, 20, 20, 20, 21, 21, 21, 22, 22, 24, 24, 24, 25, 25, 26, 26, 27, 27, 28, 29, 29, 29, 31, 32, 32, 32, 33, 34, 34, 34, 35, 35, 35, 36, 36, 37, 37, 37, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47, 47]","[0, 2, 2, 4, 4, 5, 5, 6, 6, 8, 10, 12, 13, 13, 21, 24, 24, 27, 27, 31, 35, 37, 43]","[0, 0, 1, 1, 2, 2, 9, 10, 10, 19, 19, 20, 20, 20, 21, 21, 22, 26, 26, 27, 27, 33, 34, 34]","[9, 37, 37, 37]","[3, 4, 4, 5, 5, 6, 6, 7, 7, 7, 8, 8, 8, 10, 11, 11, 12, 13, 13, 14, 16, 17, 17, 17, 18, 18, 21, 22, 24, 24, 24, 25, 25, 28, 29, 29, 29, 31, 32, 32, 32, 34, 35, 35, 35, 36, 36, 38, 38, 39, 39, 40, 40, 41, 41, 42, 42, 43, 43, 44, 44, 44, 46, 46, 47, 47]"
